,researcher_id,document-count,eid,orcid,name,subject-area
1413,54382953400,23,9-s2.0-54382953400,0000-0003-3948-3292,Abbas Rubén,"['Energy (all)', 'Engineering (all)', 'Environmental Science (all)']"
1414,54383109500,3,9-s2.0-54383109500,,De Lucas Sergio,"['Engineering (all)', 'Computer Science (all)', 'Mathematics (all)']"
1415,54389551100,11,9-s2.0-54389551100,,López-Cruz Pedro L.,"['Computer Science (all)', 'Mathematics (all)', 'Neuroscience (all)']"
1416,54390843900,2,9-s2.0-54390843900,,Abbud Jorge M.,"['Engineering (all)', 'Computer Science (all)', 'Social Sciences (all)']"
1417,54393756800,12,9-s2.0-54393756800,0000-0001-7758-9456,Llana Daniel F.,"['Materials Science (all)', 'Engineering (all)', 'Agricultural and Biological Sciences (all)']"
1418,54394949600,3,9-s2.0-54394949600,,Cao Mario,"['Computer Science (all)', 'Environmental Science (all)', 'Energy (all)']"
1419,54397619900,5,9-s2.0-54397619900,,Ramírez Puerto,"['Engineering (all)', 'Physics and Astronomy (all)', 'Social Sciences (all)']"
1420,54399964000,9,9-s2.0-54399964000,,Castejón-Navas Juan,"['Engineering (all)', 'Environmental Science (all)', 'Energy (all)']"
1421,54400467200,3,9-s2.0-54400467200,,Téllez-Robledo Bárbara,"['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)']"
1422,54402262600,2,9-s2.0-54402262600,,Blanco Ana Sepúlveda,"['Medicine (all)', 'Social Sciences (all)', 'Arts and Humanities (all)']"
1423,54402674900,7,9-s2.0-54402674900,,Čučak Dejana,"['Engineering (all)', 'Energy (all)', 'Computer Science (all)']"
1424,54402808700,8,9-s2.0-54402808700,,Hensgens Nico,"['Engineering (all)', 'Energy (all)']"
1425,54403602600,1,9-s2.0-54403602600,,Rodrílguez López Fernando,"['Decision Sciences (all)', 'Engineering (all)', 'Business, Management and Accounting (all)']"
1426,54405324100,15,9-s2.0-54405324100,,Agudo-Peregrina Ángel Francisco,"['Computer Science (all)', 'Business, Management and Accounting (all)', 'Arts and Humanities (all)']"
1427,54405380000,2,9-s2.0-54405380000,,Antona Ruben,[]
1428,54406078500,7,9-s2.0-54406078500,,Urueña-López Alberto,"['Social Sciences (all)', 'Computer Science (all)', 'Mathematics (all)']"
1429,54406705000,2,9-s2.0-54406705000,,De Castro J.,"['Biochemistry, Genetics and Molecular Biology (all)', 'Medicine (all)', 'Environmental Science (all)']"
1430,54410768800,3,9-s2.0-54410768800,,Merino Silvia,"['Earth and Planetary Sciences (all)', 'Environmental Science (all)', 'Agricultural and Biological Sciences (all)']"
1431,54412890700,16,9-s2.0-54412890700,,Nieto-Lluis Víctor,"['Computer Science (all)', 'Mathematics (all)', 'Neuroscience (all)']"
1432,54414817500,1,9-s2.0-54414817500,,Sánchez-Ortega Iván,"['Social Sciences (all)', 'Psychology (all)']"
1433,54416989500,3,9-s2.0-54416989500,,Díaz Alexander,"['Engineering (all)', 'Physics and Astronomy (all)', 'Materials Science (all)']"
1434,54417939900,14,9-s2.0-54417939900,,Sarasúa José Ignacio,"['Energy (all)', 'Engineering (all)', 'Mathematics (all)']"
1435,54419697200,3,9-s2.0-54419697200,,De Andrés Elena Pliego,"['Engineering (all)', 'Arts and Humanities (all)', 'Mathematics (all)']"
1436,54419918200,10,9-s2.0-54419918200,,García-Prieto Juan,"['Neuroscience (all)', 'Medicine (all)', 'Engineering (all)']"
1437,54420892600,1,9-s2.0-54420892600,,Puente J. A D L,[]
1438,54421192700,3,9-s2.0-54421192700,,Talaverano Rafael Martín,"['Arts and Humanities (all)', 'Engineering (all)', 'Social Sciences (all)']"
1439,54583460800,2,9-s2.0-54583460800,,Gámez-Machado A.,"['Computer Science (all)', 'Engineering (all)']"
1440,54583562500,1,9-s2.0-54583562500,,Glez-Rodriguez J.,"['Mathematics (all)', 'Computer Science (all)']"
1441,54583616000,5,9-s2.0-54583616000,,Khemiri Oualid,"['Engineering (all)', 'Physics and Astronomy (all)', 'Energy (all)']"
1442,54584429600,2,9-s2.0-54584429600,,Valdés-Martín D.,"['Computer Science (all)', 'Engineering (all)']"
1443,54680466100,10,9-s2.0-54680466100,,Avila-Sanchez S.,"['Engineering (all)', 'Energy (all)', 'Biochemistry, Genetics and Molecular Biology (all)']"
1444,54680709100,2,9-s2.0-54680709100,,Del Rey Francisco J.,[]
1445,54683490800,7,9-s2.0-54683490800,0000-0001-9151-9067,Blaya Fernando,"['Computer Science (all)', 'Medicine (all)', 'Materials Science (all)']"
